experiment_id,stage,tier,description,model_name,missing_policy,outlier_policy,feature_policy,scale_policy,sampling_policy,pr_auc_mean,f1_mean,recall_mean,mcc_mean,roc_auc_mean,optimal_threshold,pr_auc_fold_mean,pr_auc_fold_std,f1_fold_mean,f1_fold_std
E001,1,0,Dummy majority class,dummy,M1,O0,F0,S0,B0,0.0663688576898532,0.0,0.0,0.0,0.5,0.05,0.0663682057752182,0.001238911703819,0.0,0.0
E002,1,1,LR + M0 minimal preprocess,logistic_regression,M0,O0,F0,S1,B1,0.1230456521741982,0.1883408071748878,0.4038461538461538,0.1197975724584944,0.6562910773437087,0.06,0.1488497589113379,0.0276222860441527,0.145595084704886,0.0475851231843916
E003,1,1,LR + M1 recommended missing,logistic_regression,M1,O0,F0,S1,B1,0.1257953549419966,0.1735537190082644,0.2019230769230769,0.1071189898063504,0.6610823387139175,0.7500000000000002,0.1496718419643304,0.0225414769390762,0.1461588603461851,0.053685260320957
E004,1,2,RandomForest + M1,random_forest,M1,O0,F0,S0,B1,0.1627856342958569,0.2613636363636363,0.4423076923076923,0.2074914042446176,0.7248606656501393,0.19,0.1925420722102845,0.0363963933701626,0.0,0.0
E005,1,2,XGBoost + M1 + scale_pos_weight,xgboost,M1,O0,F0,S0,B2,0.1671410029266377,0.2352941176470588,0.2692307692307692,0.1751610213700932,0.7001551080498448,0.1,0.1974814391764008,0.0369075065785022,0.0675585284280936,0.0340020468953547
E006,1,2,LightGBM + M1 + scale_pos_weight,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E101,2,2,Missing ablation M0,lightgbm,M0,O0,F0,S0,B2,0.1586116500820771,0.1888888888888888,0.1634615384615384,0.142682019237764,0.6894947158105054,0.05,0.1749617648582687,0.0145892056041445,0.0347826086956521,0.0425998216136204
E102,2,2,Missing ablation M1,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E103,2,2,Missing ablation M2,lightgbm,M2,O0,F0,S0,B2,0.1641180568975052,0.192090395480226,0.1634615384615384,0.1478601084095748,0.6922682580577317,0.05,0.1903972143896523,0.0427835744096294,0.0348484848484848,0.0427476847868663
E104,2,2,Missing ablation M3,lightgbm,M3,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E107,2,2,Outlier ablation O0,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E108,2,2,Outlier ablation O1,lightgbm,M1,O1,F0,S0,B2,0.156006223243509,0.1571428571428571,0.1057692307692307,0.1473434525143664,0.7082062674167938,0.15,0.1739732851464529,0.0247229931303619,0.0363636363636363,0.0445361771415123
E109,2,2,Outlier ablation O2,lightgbm,M1,O2,F0,S0,B2,0.1496849242945725,0.2,0.1826923076923076,0.1496245414276059,0.7008452074241548,0.05,0.1680886508350899,0.0155217803330883,0.0181818181818181,0.0363636363636363
E110,2,2,Outlier ablation O3,lightgbm,M1,O3,F0,S0,B2,0.1690885278594878,0.2011834319526627,0.1634615384615384,0.1631037913523458,0.7003654240496346,0.06,0.1925984965860396,0.0369946336436834,0.0181818181818181,0.0363636363636363
E111,2,2,Outlier ablation O4,lightgbm,M1,O4,F0,S0,B2,0.1535311693595508,0.1758241758241758,0.1538461538461538,0.127582869274145,0.7059256532940744,0.05,0.182109581436533,0.0321190235352885,0.0,0.0
E112,2,2,Feature ablation F0,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E113,2,2,Feature ablation F1,lightgbm,M1,O0,F1,S0,B2,0.1446485373892195,0.1666666666666666,0.125,0.136669578489275,0.6861953835638047,0.09,0.1633827336300091,0.0227157840293056,0.0,0.0
E114,2,2,Feature ablation F2_20,lightgbm,M1,O0,F2_20,S0,B2,0.142294381012405,0.2097378277153558,0.2692307692307692,0.1442857339887582,0.704045954045954,0.05,0.1693826171280929,0.0401360316501329,0.080575712143928,0.0065861821535841
E115,2,2,Feature ablation F2_50,lightgbm,M1,O0,F2_50,S0,B2,0.1378349980404865,0.1946902654867256,0.2115384615384615,0.1330224148733328,0.7024883011725117,0.05,0.1675299789936803,0.0522730060344269,0.067391304347826,0.0625711105649939
E116,2,2,Feature ablation F2_100,lightgbm,M1,O0,F2_100,S0,B2,0.161470283642703,0.1714285714285714,0.1442307692307692,0.1268113640698795,0.7327277985172722,0.08,0.1815554479754279,0.0388060968262066,0.0166666666666666,0.0333333333333333
E119,2,2,Feature ablation F4,lightgbm,M1,O0,F4,S0,B2,0.1378349980404865,0.1946902654867256,0.2115384615384615,0.1330224148733328,0.7024883011725117,0.05,0.1675299789936803,0.0522730060344269,0.067391304347826,0.0625711105649939
E120,2,2,Scale ablation S0,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E121,2,2,Scale ablation S1,lightgbm,M1,O0,F0,S1,B2,0.1452281187517239,0.1767955801104972,0.1538461538461538,0.129152706897957,0.6934775750565224,0.05,0.1655120574844708,0.0256847914966103,0.0340579710144927,0.0417280581127187
E122,2,2,Scale ablation S2,lightgbm,M1,O0,F0,S2,B2,0.1535311693595508,0.1758241758241758,0.1538461538461538,0.127582869274145,0.7059256532940744,0.05,0.182109581436533,0.0321190235352885,0.0,0.0
E201,3,3,Sampling B0 with lightgbm,lightgbm,M1,O0,F0,S0,B0,0.180166101589484,0.1793103448275862,0.125,0.1650846262392285,0.7081602607918398,0.05,0.20614994596686,0.0340091010109955,0.0,0.0
